Title,Fuel,Price,Engine,Location,Transmission,Range,Description
toyota avanza (2024),Bensin,Rp 247.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,10.000-15.000 Km,"Deskripsi Jual cepat Veloz 2024,Q,non TSS, AT, Putih. Km18rban(serv rutin toyota), on going. Mobil mulus seperti baru, simpanan, msh warranty Toyota sampai 2027. STNK sampai may 2026. Bebas banjir n nabrak. Hrg 247jt aja cash. Kalau mau credit bs kita coba bantu."
toyota kijang innova (2023),Bensin,Rp 349.000.000,>1.500 - 2.000 cc,"Pasar Minggu, Jakarta Selatan",Automatic,30.000-35.000 Km,"Deskripsi FOR SALE Toyota Zenix 2.0 V CVT Bensin AT Abu NIK 2023 KM30rb Record AUTHORIZED !! - BELI MOBIL BEKAS TANPA KHAWATIR CUMA DI BELANJAMOBIL! Kami Berikan Garansi Langsung 1 Tahun GRATIS! Jaminan Garansi Meliputi : 1. Mesin 2. Transmisi 3. ⁠AC 4. ⁠Kaki-kaki 5. ⁠Sistem Pengereman 6. ⁠Layanan ERA (Emergency Road Asistance, Towing darurat) Bonus! Free Detailing (pembersihan) 2x (1 tahun) -UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali) -Dokumen ABSAH ⁠Focus Motor / Belanja Mobil sudah hadir di Indonesia sejak 25 tahun. Prioritas kami adalah menjaga kepuasan customer dan berkomitmen untuk menghadirkan mobil bekas terbaik untuk konsumen. - OTR KREDIT 349JT OTR CASH BY CALL Bunga Prrmium TDP 93,166,157 Angsuran 8,954,000 x47 TDP 75,286,372 Angsuran 8,377,000 x59 DP Minim Tdp 62jt Angs 9,435,000 x47 tlo Tdp 58jt Angs 8,299,500 x59 tlo UNTUK REQUEST DP & SIMULASI KREDIT LAIN SILAKAN HUBUNGI KAMI Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda) - Spesifikasi : #Pajak Bulan 6-2026 #Tangan1daribaruPribadi - Keyless Start Engine - AC ION Digital Double Blower - Electric Retract Mirror + Audiosteer - Toyota Headunit Touchscreen Navigasi, Applecarplay & Android Auto - 2TV Rear Seat Entertainment System + Camera - Ambiencelighting, Jok Orisinil Fabric - Full LED Headlamp, Sensorparking - Buku Servis Manual Kunciserep - KF 3M LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara. (ROH) (A)"
mitsubishi xpander (2023),Bensin,Rp 220.000.000,>1.000 - 1.500 cc,"Pasar Minggu, Jakarta Selatan",Automatic,50.000-55.000 Km,"Deskripsi MITSUBISHI XPANDER ULTIMATE 2023 Pajak 06 2026 (tgn 1 dri baru) Kilometer 55rb (RECORD) Otr kredit 220jt Bca finance Tdp 15jt Angsuran 6,690.000x4th Angsuran 5,698.000x5th"
hyundai stargazer (2022),Bensin,Rp 235.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,20.000-25.000 Km,Deskripsi For sale: Hyundai Stargazer Prime Two Tone 1.5 IVT Nik 2022 Tangan pertama dari baru Low km 22.000 record Captain seat Mobil super good condition istimewah tinggal pakai Dokumen lengkap Bebas banjir laka Harga Rp. 235jt cash nego Lokasi Alam Sutera
mazda mx 5 rf (2025),Bensin,Rp 890.000.000,>2.000 - 3.000 cc,"Kebayoran Baru, Jakarta Selatan",Automatic,0-5.000 Km,"Deskripsi Mazda Mx5 Miata RF Cabriolet AT Putih 2025 * Harga Paket Kredit Rp 890 Jt * • Km 600 Perak Record Mazda • Warranty & Free Service Hingga 2029 • Kondisi Full Original & Coating By Vkool • An.Pribadi , Pjk 08-26 , Nopol Genap • Rare Item (Jdm Car Hobby) • Body Original Cat Tanpa Cacat • Kondisi Gress Like New Batal Pakai • Interior Bersih Dan Masih Seperti Baru • Headlamp Led , Drl Led • Premium Audio By Bose • Multimedia , Camera , Apple/Android Auto • Manualbook Dan Doc Lengkap • Dijamin Bebas Banjir Dan Tabrak Minat  : Call Dan Wa"
mercedes-benz s280 (2000),Bensin,Rp 140.000.000,>2.000 - 3.000 cc,"Cilandak, Jakarta Selatan",Automatic,60.000-65.000 Km,Deskripsi Mercy S280 SWB istimewah Nik tahun 2000 Kaca double glass Tangan pertama dari baru Low km 64.000 record Pajak December 2024 Pajak murah Perth 3.2jtan Warna almandine black Body full orisinil sangat mulus Interior bersih terawat Velg AMG ban 4 Masih tebal Head unit android Compressor ac baru msh garansi (16jt) Kaki2 semua br peremajaan semua part number ( 50jt ) Mobil sangat istimewah tinggal pakai nga ada PR Dokumen lengkap Bebas banjir laka Lokasi Alam Sutera
toyota land cruiser (2013),Diesel,Rp 1.100.000.000,>3.000 cc,"Cilandak, Jakarta Selatan",Automatic,75.000-80.000 Km,Deskripsi For sale: Toyota Land cruiser VX200 4x4 V8 4.5  Diesel CBU UK version ( Rare ) Nik 2013 Pemakaian 2014 Tangan pertama dari baru an.Pribadi Low km 79.000 on going Full spec type tertinggi Pajak panjang Oktober 2025 Body mulus cat orisinil Mobil no PR tinggal pakai Bebas laka banjir Harga Rp.1.100.000.000 cash nego Lokasi Alam Sutera
mercedes-benz c180 (2013),Bensin,Rp 350.000.000,>1.500 - 2.000 cc,"Cilandak, Jakarta Selatan",Automatic,65.000-70.000 Km,Deskripsi Dijual: Mercedes Benz C180 Coupe AMG Line Nik 2013 Faktur Pemakaian 2014 White on black Km 69.000 on going Pajak Juni 2026 1800cc turbocharger Electric mirror Electric seat memory Cruise control Panoramic sunroof No malfunction Dokumen lengkap Bebas banjir laka Harga Rp. 350jt cash nego Lokasi alam sutera
daihatsu grand xenia (2021),Bensin,Rp 185.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Manual,25.000-30.000 Km,Deskripsi Bismillahirrahmanirrahim Di jual mobil All New Xenia Tahun 2021. Pemakaian 2022. Type R MT 1300 cc Odo : 26 ribu Velg : HSR 17 inch Kaca film depan : Solar Guard LX Premium Kaca film samping dan belakang: Solar Guard Black Phantom Service terakhir : bulan Juli Aki masih baru Coating by Otopia AC : Dingin Mobil siap pakai Kunci : 2 Service Record Lengkap Harga : Cash only 185jt
toyota fortuner (2017),Diesel,Rp 344.000.000,>2.000 - 3.000 cc,"Pasar Minggu, Jakarta Selatan",Automatic,75.000-80.000 Km,"Deskripsi DIJUAL Toyota Fortuner 2.4 VRZ Diesel AT Silver NIK 2017 KM 77rb Record AUTHORIZED !! OTR Kredit 344 JT OTR CASH 372 JT NEGO PLAT B GANJIL ( sjt ) Promo bunga 0% tenor khusus 1 thn mengikuti OTR CASH (s&k berlaku ) Info bisa tlpn /wa Regina ya ... Spesifikasi : #Engine 2.4 Diesel Auto ECO Pwr Mode #Pajak Bulan 8-2025 #Tangan1daribaruPribadi - Keyless Start Engine - Electric Leatherseat - Triptonic & Audiosteer - Electric Retract Mirror - Headunit OEM GPS + Camera + TV Roof - Headlamp Xenon DRL, Spoiler, Sensorparking, Velg OEM, Woodenpanel, Powerbackdoor - Buku Service Kunciserep - KF 3M proses kredit bisa dibantu( rumah sewa dll s&k) ktp daerah bisa (daerah tertentu).. Terima jual-beli ,tukar tambah ( cash / kredit ) Unit tidak bekas tabrakan dan banjir (boleh cek ke bengkel resmi dulu ) . Minat cepat hubungi Regina ( call / WA )"
toyota calya (2022),Bensin,Rp 143.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Manual,45.000-50.000 Km,"Deskripsi ""Toyota Calya 1.2 G Bensin-MT 2022 . Khusus Harga Kredit : Rp 143,000,000 Khusus Harga Cash : Rp 153,000,000 TDP : Rp Call Me for Info Angsuran 4 tahun : Rp Call Me for Info Angsuran 5 tahun : Rp Call Me for Info . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 48,543 km - Transmisi : MT - Pajak : 09-Jan-2026 - Plat : Ganjil/Genap - KN : C4PSA . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Athaya Fiasfa Juniastria - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
daihatsu xenia (2023),Bensin,Rp 240.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,10.000-15.000 Km,"Deskripsi ""Daihatsu Xenia 1.5 R ASA Bensin-AT 2023 . Khusus Harga Kredit : Rp 240,000,000 Khusus Harga Cash : Rp 252,000,000 TDP : Hubungi Kami Angsuran 4 tahun : Hubungi Kami Angsuran 5 tahun : Hubungi Kami . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 10,381 km - Transmisi : AT - Pajak : 01-Sep-2025 - Plat : Ganjil - KN : VZD . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Aprilia Diah Permatasari - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
honda brio (2019),Bensin,Rp 153.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,70.000-75.000 Km,"Deskripsi ""Honda Brio 1.2 E . Khusus Harga Kredit : Rp 153,000,000 Khusus Harga Cash : Rp 163,000,000 TDP : Rp Call Me for Info Angsuran 4 tahun : Rp Call Me for Info Angsuran 5 tahun : Rp Call Me for Info . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 87,161 km - Transmisi : AT - Pajak : 31-Oct-2025 - Plat : Ganjil/Genap - KN : CJFBB . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Afifah Arthadianti - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
